Site,Species,temp,K,PAM,Replicate,Geno,curve_id
Isabela,Pavona_clavus,35.5,308.65,0.261,A,6,30
Isabela,Pavona_clavus,35.5,308.65,0.226,B,6,30
Isabela,Pavona_clavus,12,285.15,0.507,A,7,31
Isabela,Pavona_clavus,12,285.15,0.463,B,7,31
Isabela,Pavona_clavus,16,289.15,0.505,A,7,31
Isabela,Pavona_clavus,16,289.15,0.537,B,7,31
Isabela,Pavona_clavus,20,293.15,0.531,A,7,31
Isabela,Pavona_clavus,20,293.15,0.521,B,7,31
Isabela,Pavona_clavus,26,299.15,0.508,A,7,31
Isabela,Pavona_clavus,26,299.15,0.552,B,7,31
Isabela,Pavona_clavus,26,299.15,0.569,A,7,31
Isabela,Pavona_clavus,26,299.15,0.555,B,7,31
Isabela,Pavona_clavus,32.5,305.65,0.551,A,7,31
Isabela,Pavona_clavus,32.5,305.65,0.538,B,7,31
Isabela,Pavona_clavus,34,307.15,0.501,A,7,31
Isabela,Pavona_clavus,34,307.15,0.485,B,7,31
Isabela,Pavona_clavus,35.5,308.65,0.463,A,7,31
Isabela,Pavona_clavus,35.5,308.65,0.236,B,7,31
Isabela,Pavona_clavus,12,285.15,0.479,A,8,32
Isabela,Pavona_clavus,12,285.15,0.512,B,8,32
Isabela,Pavona_clavus,16,289.15,0.523,A,8,32
Isabela,Pavona_clavus,16,289.15,0.522,B,8,32
Isabela,Pavona_clavus,20,293.15,0.562,A,8,32
Isabela,Pavona_clavus,20,293.15,0.494,B,8,32
Isabela,Pavona_clavus,26,299.15,0.566,A,8,32
Isabela,Pavona_clavus,26,299.15,0.537,B,8,32
Isabela,Pavona_clavus,26,299.15,0.542,A,8,32
Isabela,Pavona_clavus,26,299.15,0.533,B,8,32
Isabela,Pavona_clavus,32.5,305.65,0.553,A,8,32
Isabela,Pavona_clavus,32.5,305.65,0.55,B,8,32
Isabela,Pavona_clavus,34,307.15,0.51,A,8,32
Isabela,Pavona_clavus,34,307.15,0.499,B,8,32
Isabela,Pavona_clavus,35.5,308.65,0.179,A,8,32
Isabela,Pavona_clavus,35.5,308.65,0.124,B,8,32
Punta_Pitt,Pavona_clavus,12,285.15,0.411,A,1,33
Punta_Pitt,Pavona_clavus,12,285.15,0.449,B,1,33
Punta_Pitt,Pavona_clavus,16,289.15,0.421,A,1,33
Punta_Pitt,Pavona_clavus,16,289.15,0.487,B,1,33
Punta_Pitt,Pavona_clavus,20,293.15,0.541,A,1,33
Punta_Pitt,Pavona_clavus,20,293.15,0.51,B,1,33
Punta_Pitt,Pavona_clavus,26,299.15,0.543,A,1,33
Punta_Pitt,Pavona_clavus,26,299.15,0.507,B,1,33
Punta_Pitt,Pavona_clavus,26,299.15,0.551,A,1,33
Punta_Pitt,Pavona_clavus,26,299.15,0.56,B,1,33
Punta_Pitt,Pavona_clavus,32.5,305.65,0.463,A,1,33
Punta_Pitt,Pavona_clavus,32.5,305.65,0.49,B,1,33
Punta_Pitt,Pavona_clavus,34,307.15,0.436,A,1,33
Punta_Pitt,Pavona_clavus,34,307.15,0.467,B,1,33
Punta_Pitt,Pavona_clavus,35.5,308.65,0.387,A,1,33
Punta_Pitt,Pavona_clavus,35.5,308.65,0.391,B,1,33
Punta_Pitt,Pavona_clavus,12,285.15,0.525,A,2,34
Punta_Pitt,Pavona_clavus,12,285.15,0.521,B,2,34
Punta_Pitt,Pavona_clavus,16,289.15,0.423,A,2,34
Punta_Pitt,Pavona_clavus,16,289.15,0.51,B,2,34
Punta_Pitt,Pavona_clavus,20,293.15,0.569,A,2,34
Punta_Pitt,Pavona_clavus,20,293.15,0.526,B,2,34
Punta_Pitt,Pavona_clavus,26,299.15,0.475,A,2,34
Punta_Pitt,Pavona_clavus,26,299.15,0.471,B,2,34
Punta_Pitt,Pavona_clavus,26,299.15,0.563,A,2,34
Punta_Pitt,Pavona_clavus,26,299.15,0.539,B,2,34
Punta_Pitt,Pavona_clavus,32.5,305.65,0.538,A,2,34
Punta_Pitt,Pavona_clavus,32.5,305.65,0.495,B,2,34
Punta_Pitt,Pavona_clavus,34,307.15,0.535,A,2,34
Punta_Pitt,Pavona_clavus,34,307.15,0.542,B,2,34
Punta_Pitt,Pavona_clavus,35.5,308.65,0.293,A,2,34
Punta_Pitt,Pavona_clavus,35.5,308.65,0.362,B,2,34
Punta_Pitt,Pavona_clavus,12,285.15,0.502,A,3,35
Punta_Pitt,Pavona_clavus,12,285.15,0.505,B,3,35
Punta_Pitt,Pavona_clavus,16,289.15,0.496,A,3,35
Punta_Pitt,Pavona_clavus,16,289.15,0.473,B,3,35
Punta_Pitt,Pavona_clavus,20,293.15,0.504,A,3,35
Punta_Pitt,Pavona_clavus,20,293.15,0.451,B,3,35
Punta_Pitt,Pavona_clavus,26,299.15,0.547,A,3,35
Punta_Pitt,Pavona_clavus,26,299.15,0.507,B,3,35
Punta_Pitt,Pavona_clavus,26,299.15,0.559,A,3,35
Punta_Pitt,Pavona_clavus,26,299.15,0.572,B,3,35
Punta_Pitt,Pavona_clavus,32.5,305.65,0.531,A,3,35
Punta_Pitt,Pavona_clavus,32.5,305.65,0.523,B,3,35
Punta_Pitt,Pavona_clavus,34,307.15,0.437,A,3,35
Punta_Pitt,Pavona_clavus,34,307.15,0.466,B,3,35
Punta_Pitt,Pavona_clavus,35.5,308.65,0.307,A,3,35
Punta_Pitt,Pavona_clavus,35.5,308.65,0.387,B,3,35
Punta_Pitt,Pavona_clavus,12,285.15,0.356,A,4,36
Punta_Pitt,Pavona_clavus,12,285.15,0.532,B,4,36
Punta_Pitt,Pavona_clavus,16,289.15,0.446,A,4,36
Punta_Pitt,Pavona_clavus,16,289.15,0.476,B,4,36
Punta_Pitt,Pavona_clavus,20,293.15,0.546,A,4,36
Punta_Pitt,Pavona_clavus,20,293.15,0.523,B,4,36
Punta_Pitt,Pavona_clavus,26,299.15,0.549,A,4,36
Punta_Pitt,Pavona_clavus,26,299.15,0.552,B,4,36
Punta_Pitt,Pavona_clavus,26,299.15,0.545,A,4,36
Punta_Pitt,Pavona_clavus,26,299.15,0.556,B,4,36
Punta_Pitt,Pavona_clavus,32.5,305.65,0.528,A,4,36
Punta_Pitt,Pavona_clavus,32.5,305.65,0.518,B,4,36
Punta_Pitt,Pavona_clavus,34,307.15,0.519,A,4,36
Punta_Pitt,Pavona_clavus,34,307.15,0.499,B,4,36
Punta_Pitt,Pavona_clavus,35.5,308.65,0.48,A,4,36
Punta_Pitt,Pavona_clavus,35.5,308.65,0.427,B,4,36
Punta_Pitt,Pavona_clavus,12,285.15,0.516,A,5,37
Punta_Pitt,Pavona_clavus,12,285.15,0.4,B,5,37
Punta_Pitt,Pavona_clavus,16,289.15,0.471,A,5,37
Punta_Pitt,Pavona_clavus,16,289.15,0.457,B,5,37
Punta_Pitt,Pavona_clavus,20,293.15,0.51,A,5,37
Punta_Pitt,Pavona_clavus,20,293.15,0.51,B,5,37
Punta_Pitt,Pavona_clavus,26,299.15,0.545,A,5,37
Punta_Pitt,Pavona_clavus,26,299.15,0.555,B,5,37
Punta_Pitt,Pavona_clavus,26,299.15,0.558,A,5,37
Punta_Pitt,Pavona_clavus,26,299.15,0.476,B,5,37
Punta_Pitt,Pavona_clavus,32.5,305.65,0.572,A,5,37
Punta_Pitt,Pavona_clavus,32.5,305.65,0.531,B,5,37
Punta_Pitt,Pavona_clavus,34,307.15,0.554,A,5,37
Punta_Pitt,Pavona_clavus,34,307.15,0.525,B,5,37
Punta_Pitt,Pavona_clavus,35.5,308.65,0.493,A,5,37
Punta_Pitt,Pavona_clavus,35.5,308.65,0.452,B,5,37
Punta_Pitt,Pavona_clavus,12,285.15,0.426,A,6,38
Punta_Pitt,Pavona_clavus,12,285.15,0.463,B,6,38
Punta_Pitt,Pavona_clavus,16,289.15,0.479,A,6,38
Punta_Pitt,Pavona_clavus,16,289.15,0.499,B,6,38
Punta_Pitt,Pavona_clavus,20,293.15,0.552,A,6,38
Punta_Pitt,Pavona_clavus,20,293.15,0.494,B,6,38
Punta_Pitt,Pavona_clavus,26,299.15,0.561,A,6,38
Punta_Pitt,Pavona_clavus,26,299.15,0.496,B,6,38
Punta_Pitt,Pavona_clavus,26,299.15,0.578,A,6,38
Punta_Pitt,Pavona_clavus,26,299.15,0.5,B,6,38
Punta_Pitt,Pavona_clavus,32.5,305.65,0.573,A,6,38
Punta_Pitt,Pavona_clavus,32.5,305.65,0.551,B,6,38
Punta_Pitt,Pavona_clavus,34,307.15,0.492,A,6,38
Punta_Pitt,Pavona_clavus,34,307.15,0.506,B,6,38
Punta_Pitt,Pavona_clavus,35.5,308.65,0.381,A,6,38
Punta_Pitt,Pavona_clavus,35.5,308.65,0.433,B,6,38
Punta_Pitt,Pavona_clavus,12,285.15,0.42,A,7,39
Punta_Pitt,Pavona_clavus,12,285.15,0.46,B,7,39
Punta_Pitt,Pavona_clavus,16,289.15,0.499,A,7,39
Punta_Pitt,Pavona_clavus,16,289.15,0.513,B,7,39
Punta_Pitt,Pavona_clavus,20,293.15,0.583,A,7,39
Punta_Pitt,Pavona_clavus,20,293.15,0.527,B,7,39
Punta_Pitt,Pavona_clavus,26,299.15,0.54,A,7,39
Punta_Pitt,Pavona_clavus,26,299.15,0.538,B,7,39
Punta_Pitt,Pavona_clavus,26,299.15,0.572,A,7,39
Punta_Pitt,Pavona_clavus,26,299.15,0.555,B,7,39
Punta_Pitt,Pavona_clavus,32.5,305.65,0.539,A,7,39
Punta_Pitt,Pavona_clavus,32.5,305.65,0.573,B,7,39
Punta_Pitt,Pavona_clavus,34,307.15,0.531,A,7,39
Punta_Pitt,Pavona_clavus,34,307.15,0.529,B,7,39
Punta_Pitt,Pavona_clavus,35.5,308.65,0.48,A,7,39
Punta_Pitt,Pavona_clavus,35.5,308.65,0.428,B,7,39
Punta_Pitt,Pavona_clavus,12,285.15,0.411,A,8,40
Punta_Pitt,Pavona_clavus,12,285.15,0.456,B,8,40
Punta_Pitt,Pavona_clavus,16,289.15,0.458,A,8,40
Punta_Pitt,Pavona_clavus,16,289.15,0.362,B,8,40
Punta_Pitt,Pavona_clavus,20,293.15,0.509,A,8,40
Punta_Pitt,Pavona_clavus,20,293.15,0.537,B,8,40
Punta_Pitt,Pavona_clavus,26,299.15,0.49,A,8,40
Punta_Pitt,Pavona_clavus,26,299.15,0.508,B,8,40
Punta_Pitt,Pavona_clavus,26,299.15,0.583,A,8,40
Punta_Pitt,Pavona_clavus,26,299.15,0.491,B,8,40
Punta_Pitt,Pavona_clavus,32.5,305.65,0.466,A,8,40
Punta_Pitt,Pavona_clavus,32.5,305.65,0.486,B,8,40
Punta_Pitt,Pavona_clavus,34,307.15,0.484,A,8,40
Punta_Pitt,Pavona_clavus,34,307.15,0.439,B,8,40
Punta_Pitt,Pavona_clavus,35.5,308.65,0.411,A,8,40
Punta_Pitt,Pavona_clavus,35.5,308.65,0.407,B,8,40
Wolf,Pavona_clavus,12,285.15,0.403,A,1,41
Wolf,Pavona_clavus,12,285.15,0.42,A,1,41
Wolf,Pavona_clavus,12,285.15,0.408,B,1,41
Wolf,Pavona_clavus,16,289.15,0.464,A,1,41
Wolf,Pavona_clavus,16,289.15,0.402,B,1,41
Wolf,Pavona_clavus,16,289.15,0.403,B,1,41
Wolf,Pavona_clavus,20,293.15,0.473,B,1,41
Wolf,Pavona_clavus,20,293.15,0.458,B,1,41
Wolf,Pavona_clavus,26,299.15,0.544,A,1,41
Wolf,Pavona_clavus,26,299.15,0.52,B,1,41
Wolf,Pavona_clavus,26,299.15,0.476,A,1,41
Wolf,Pavona_clavus,26,299.15,0.529,A,1,41
Wolf,Pavona_clavus,26,299.15,0.512,B,1,41
Wolf,Pavona_clavus,32.5,305.65,0.549,A,1,41
Wolf,Pavona_clavus,32.5,305.65,0.526,B,1,41
Wolf,Pavona_clavus,34,307.15,0.561,A,1,41
Wolf,Pavona_clavus,34,307.15,0.52,B,1,41
Wolf,Pavona_clavus,35.5,308.65,0.5,A,1,41
Wolf,Pavona_clavus,35.5,308.65,0.526,B,1,41
Wolf,Pavona_clavus,12,285.15,0.444,B,2,42
Wolf,Pavona_clavus,16,289.15,0.45,A,2,42
Wolf,Pavona_clavus,16,289.15,0.422,A,2,42
Wolf,Pavona_clavus,16,289.15,0.491,B,2,42
Wolf,Pavona_clavus,20,293.15,0.485,A,2,42
Wolf,Pavona_clavus,20,293.15,0.478,B,2,42
Wolf,Pavona_clavus,26,299.15,0.557,A,2,42
Wolf,Pavona_clavus,26,299.15,0.537,B,2,42
Wolf,Pavona_clavus,26,299.15,0.465,A,2,42
Wolf,Pavona_clavus,26,299.15,0.473,A,2,42
Wolf,Pavona_clavus,26,299.15,0.482,B,2,42
Wolf,Pavona_clavus,32.5,305.65,0.573,A,2,42
Wolf,Pavona_clavus,32.5,305.65,0.57,B,2,42
Wolf,Pavona_clavus,34,307.15,0.55,A,2,42
Wolf,Pavona_clavus,34,307.15,0.541,B,2,42
Wolf,Pavona_clavus,35.5,308.65,0.397,A,2,42
Wolf,Pavona_clavus,35.5,308.65,0.493,B,2,42
Wolf,Pavona_clavus,12,285.15,0.452,B,3,43
Wolf,Pavona_clavus,12,285.15,0.421,B,3,43
Wolf,Pavona_clavus,16,289.15,0.473,A,3,43
Wolf,Pavona_clavus,20,293.15,0.465,B,3,43
Wolf,Pavona_clavus,26,299.15,0.562,A,3,43
Wolf,Pavona_clavus,26,299.15,0.577,B,3,43
Wolf,Pavona_clavus,32.5,305.65,0.552,A,3,43
Wolf,Pavona_clavus,32.5,305.65,0.557,B,3,43
Wolf,Pavona_clavus,34,307.15,0.59,A,3,43
Wolf,Pavona_clavus,34,307.15,0.572,B,3,43
Wolf,Pavona_clavus,35.5,308.65,0.584,A,3,43
Wolf,Pavona_clavus,35.5,308.65,0.447,B,3,43
Wolf,Pavona_clavus,12,285.15,0.44,A,4,44
Wolf,Pavona_clavus,16,289.15,0.539,A,4,44
Wolf,Pavona_clavus,16,289.15,0.459,A,4,44
Wolf,Pavona_clavus,20,293.15,0.463,A,4,44
Wolf,Pavona_clavus,26,299.15,0.54,A,4,44
Wolf,Pavona_clavus,26,299.15,0.571,B,4,44
Wolf,Pavona_clavus,26,299.15,0.483,A,4,44
Wolf,Pavona_clavus,32.5,305.65,0.539,A,4,44
Wolf,Pavona_clavus,32.5,305.65,0.553,B,4,44
Wolf,Pavona_clavus,34,307.15,0.589,A,4,44
Wolf,Pavona_clavus,34,307.15,0.534,B,4,44
Wolf,Pavona_clavus,35.5,308.65,0.439,A,4,44
Wolf,Pavona_clavus,35.5,308.65,0.462,B,4,44
Wolf,Pavona_clavus,12,285.15,0.403,A,5,45
Wolf,Pavona_clavus,12,285.15,0.41,B,5,45
Wolf,Pavona_clavus,12,285.15,0.459,B,5,45
Wolf,Pavona_clavus,16,289.15,0.459,B,5,45
Wolf,Pavona_clavus,20,293.15,0.553,A,5,45
Wolf,Pavona_clavus,20,293.15,0.465,A,5,45
Wolf,Pavona_clavus,20,293.15,0.487,B,5,45
Wolf,Pavona_clavus,26,299.15,0.537,A,5,45
Wolf,Pavona_clavus,26,299.15,0.545,B,5,45
Wolf,Pavona_clavus,26,299.15,0.53,B,5,45
Wolf,Pavona_clavus,32.5,305.65,0.553,A,5,45
Wolf,Pavona_clavus,32.5,305.65,0.593,B,5,45
Wolf,Pavona_clavus,34,307.15,0.52,A,5,45
Wolf,Pavona_clavus,34,307.15,0.509,B,5,45
Wolf,Pavona_clavus,35.5,308.65,0.511,A,5,45
Wolf,Pavona_clavus,35.5,308.65,0.482,B,5,45
Wolf,Pavona_clavus,12,285.15,0.452,A,6,46
Wolf,Pavona_clavus,12,285.15,0.445,A,6,46
Wolf,Pavona_clavus,12,285.15,0.345,B,6,46
Wolf,Pavona_clavus,16,289.15,0.428,A,6,46
Wolf,Pavona_clavus,16,289.15,0.489,B,6,46
Wolf,Pavona_clavus,20,293.15,0.466,A,6,46
Wolf,Pavona_clavus,20,293.15,0.439,A,6,46
Wolf,Pavona_clavus,20,293.15,0.501,B,6,46
Wolf,Pavona_clavus,20,293.15,0.505,B,6,46
Wolf,Pavona_clavus,26,299.15,0.566,A,6,46
Wolf,Pavona_clavus,26,299.15,0.586,B,6,46
Wolf,Pavona_clavus,26,299.15,0.426,A,6,46
Wolf,Pavona_clavus,26,299.15,0.514,B,6,46
Wolf,Pavona_clavus,26,299.15,0.541,B,6,46
Wolf,Pavona_clavus,32.5,305.65,0.576,A,6,46
Wolf,Pavona_clavus,32.5,305.65,0.584,B,6,46
Wolf,Pavona_clavus,34,307.15,0.587,A,6,46
Wolf,Pavona_clavus,34,307.15,0.583,B,6,46
Wolf,Pavona_clavus,35.5,308.65,0.512,A,6,46
Wolf,Pavona_clavus,35.5,308.65,0.512,B,6,46
Wolf,Pavona_clavus,16,289.15,0.44,B,7,47
Wolf,Pavona_clavus,16,289.15,0.462,B,7,47
Wolf,Pavona_clavus,20,293.15,0.492,B,7,47
Wolf,Pavona_clavus,26,299.15,0.568,A,7,47
Wolf,Pavona_clavus,26,299.15,0.57,B,7,47
Wolf,Pavona_clavus,26,299.15,0.452,A,7,47
Wolf,Pavona_clavus,26,299.15,0.524,B,7,47
Wolf,Pavona_clavus,32.5,305.65,0.544,A,7,47
Wolf,Pavona_clavus,32.5,305.65,0.569,B,7,47
Wolf,Pavona_clavus,34,307.15,0.623,A,7,47
Wolf,Pavona_clavus,34,307.15,0.573,B,7,47
Wolf,Pavona_clavus,35.5,308.65,0.548,A,7,47
Wolf,Pavona_clavus,35.5,308.65,0.561,B,7,47
Wolf,Pavona_clavus,12,285.15,0.448,A,8,48
Wolf,Pavona_clavus,12,285.15,0.444,A,8,48
Wolf,Pavona_clavus,12,285.15,0.421,B,8,48
Wolf,Pavona_clavus,16,289.15,0.433,A,8,48
Wolf,Pavona_clavus,16,289.15,0.445,B,8,48
Wolf,Pavona_clavus,20,293.15,0.537,A,8,48
Wolf,Pavona_clavus,20,293.15,0.331,A,8,48
Wolf,Pavona_clavus,26,299.15,0.602,A,8,48
Wolf,Pavona_clavus,26,299.15,0.597,B,8,48
Wolf,Pavona_clavus,26,299.15,0.412,A,8,48
Wolf,Pavona_clavus,26,299.15,0.529,B,8,48
Wolf,Pavona_clavus,26,299.15,0.536,B,8,48
Wolf,Pavona_clavus,32.5,305.65,0.586,A,8,48
Wolf,Pavona_clavus,32.5,305.65,0.52,B,8,48
Wolf,Pavona_clavus,34,307.15,0.507,A,8,48
Wolf,Pavona_clavus,34,307.15,0.592,B,8,48
Wolf,Pavona_clavus,35.5,308.65,0.485,A,8,48
Wolf,Pavona_clavus,35.5,308.65,0.568,B,8,48
Wolf2,Pavona_clavus,26,299.15,0.526,A,1,49
Wolf2,Pavona_clavus,26,299.15,0.51,B,1,49
Wolf2,Pavona_clavus,32.5,305.65,0.494,A,1,49
Wolf2,Pavona_clavus,32.5,305.65,0.507,B,1,49
Wolf2,Pavona_clavus,34,307.15,0.528,A,1,49
Wolf2,Pavona_clavus,34,307.15,0.512,B,1,49
Wolf2,Pavona_clavus,35.5,308.65,0.47,A,1,49
Wolf2,Pavona_clavus,35.5,308.65,0.501,B,1,49
Wolf2,Pavona_clavus,26,299.15,0.494,A,2,50
Wolf2,Pavona_clavus,26,299.15,0.502,B,2,50
Wolf2,Pavona_clavus,32.5,305.65,0.482,A,2,50
Wolf2,Pavona_clavus,32.5,305.65,0.513,B,2,50
Wolf2,Pavona_clavus,34,307.15,0.456,A,2,50
Wolf2,Pavona_clavus,34,307.15,0.496,B,2,50
Wolf2,Pavona_clavus,35.5,308.65,0.393,A,2,50
Wolf2,Pavona_clavus,35.5,308.65,0.406,B,2,50
Wolf2,Pavona_clavus,26,299.15,0.523,A,3,51
Wolf2,Pavona_clavus,26,299.15,0.526,B,3,51
Wolf2,Pavona_clavus,32.5,305.65,0.505,A,3,51
Wolf2,Pavona_clavus,32.5,305.65,0.51,B,3,51
Wolf2,Pavona_clavus,34,307.15,0.476,A,3,51
Wolf2,Pavona_clavus,34,307.15,0.541,B,3,51
Wolf2,Pavona_clavus,35.5,308.65,0.423,A,3,51
Wolf2,Pavona_clavus,35.5,308.65,0.427,B,3,51
Wolf2,Pavona_clavus,26,299.15,0.494,A,4,52
Wolf2,Pavona_clavus,26,299.15,0.488,B,4,52
Wolf2,Pavona_clavus,32.5,305.65,0.483,A,4,52
Wolf2,Pavona_clavus,32.5,305.65,0.472,B,4,52
Wolf2,Pavona_clavus,34,307.15,0.484,A,4,52
Wolf2,Pavona_clavus,34,307.15,0.452,B,4,52
Wolf2,Pavona_clavus,35.5,308.65,0.453,A,4,52
Wolf2,Pavona_clavus,35.5,308.65,0.4,B,4,52
Wolf2,Pavona_clavus,26,299.15,0.514,A,5,52
Wolf2,Pavona_clavus,26,299.15,0.581,B,5,52
Wolf2,Pavona_clavus,32.5,305.65,0.466,A,5,52
Wolf2,Pavona_clavus,32.5,305.65,0.483,B,5,52
Wolf2,Pavona_clavus,34,307.15,0.51,A,5,52
Wolf2,Pavona_clavus,34,307.15,0.451,B,5,52
Wolf2,Pavona_clavus,35.5,308.65,0.474,A,5,52
Wolf2,Pavona_clavus,35.5,308.65,0.358,B,5,52
Wolf2,Pavona_clavus,26,299.15,0.533,A,6,53
Wolf2,Pavona_clavus,26,299.15,0.538,B,6,53
Wolf2,Pavona_clavus,32.5,305.65,0.528,A,6,53
Wolf2,Pavona_clavus,32.5,305.65,0.483,B,6,53
Wolf2,Pavona_clavus,34,307.15,0.508,A,6,53
Wolf2,Pavona_clavus,34,307.15,0.495,B,6,53
Wolf2,Pavona_clavus,35.5,308.65,0.498,A,6,53
Wolf2,Pavona_clavus,35.5,308.65,0.455,B,6,53
Wolf2,Pavona_clavus,26,299.15,0.474,A,7,54
Wolf2,Pavona_clavus,26,299.15,0.43,B,7,54
Wolf2,Pavona_clavus,32.5,305.65,0.448,A,7,54
Wolf2,Pavona_clavus,32.5,305.65,0.449,B,7,54
Wolf2,Pavona_clavus,34,307.15,0.455,A,7,54
Wolf2,Pavona_clavus,34,307.15,0.42,B,7,54
Wolf2,Pavona_clavus,35.5,308.65,0.4,A,7,54
Wolf2,Pavona_clavus,35.5,308.65,0.343,B,7,54
Wolf2,Pavona_clavus,26,299.15,0.488,A,8,55
Wolf2,Pavona_clavus,26,299.15,0.512,B,8,55
Wolf2,Pavona_clavus,32.5,305.65,0.482,A,8,55
Wolf2,Pavona_clavus,32.5,305.65,0.487,B,8,55
Wolf2,Pavona_clavus,34,307.15,0.483,A,8,55
Wolf2,Pavona_clavus,34,307.15,0.471,B,8,55
Wolf2,Pavona_clavus,35.5,308.65,0.442,A,8,55
Wolf2,Pavona_clavus,35.5,308.65,0.414,B,8,55
Darwin,Pocillopora_sp,12,285.15,0.516,A,1,56
Darwin,Pocillopora_sp,12,285.15,0.553,B,1,56
Darwin,Pocillopora_sp,16,289.15,0.54,A,1,56
Darwin,Pocillopora_sp,16,289.15,0.551,B,1,56
Darwin,Pocillopora_sp,20,293.15,0.569,A,1,56
Darwin,Pocillopora_sp,20,293.15,0.571,B,1,56
Darwin,Pocillopora_sp,26,299.15,0.571,A,1,56
Darwin,Pocillopora_sp,26,299.15,0.558,B,1,56
Darwin,Pocillopora_sp,26,299.15,0.56,A,1,56
Darwin,Pocillopora_sp,26,299.15,0.62,B,1,56
Darwin,Pocillopora_sp,32.5,305.65,0.552,A,1,56
Darwin,Pocillopora_sp,32.5,305.65,0.555,B,1,56
Darwin,Pocillopora_sp,34,307.15,0.547,A,1,56
Darwin,Pocillopora_sp,34,307.15,NA,B,1,56
Darwin,Pocillopora_sp,35.5,308.65,0.494,A,1,56
Darwin,Pocillopora_sp,35.5,308.65,0.464,B,1,56
Darwin,Pocillopora_sp,12,285.15,0.41,A,2,57
Darwin,Pocillopora_sp,12,285.15,0.593,B,2,57
Darwin,Pocillopora_sp,16,289.15,0.545,A,2,57
Darwin,Pocillopora_sp,16,289.15,0.527,B,2,57
Darwin,Pocillopora_sp,20,293.15,0.529,A,2,57
Darwin,Pocillopora_sp,20,293.15,0.624,B,2,57
Darwin,Pocillopora_sp,26,299.15,0.516,A,2,57
Darwin,Pocillopora_sp,26,299.15,0.545,B,2,57
Darwin,Pocillopora_sp,26,299.15,0.577,A,2,57
Darwin,Pocillopora_sp,26,299.15,0.532,B,2,57
Darwin,Pocillopora_sp,32.5,305.65,0.589,A,2,57
Darwin,Pocillopora_sp,32.5,305.65,0.553,B,2,57
Darwin,Pocillopora_sp,34,307.15,0.553,A,2,57
Darwin,Pocillopora_sp,34,307.15,NA,B,2,57
Darwin,Pocillopora_sp,35.5,308.65,0.537,A,2,57
Darwin,Pocillopora_sp,35.5,308.65,0.413,B,2,57
Darwin,Pocillopora_sp,12,285.15,0.527,A,3,58
Darwin,Pocillopora_sp,12,285.15,0.533,B,3,58
Darwin,Pocillopora_sp,16,289.15,0.52,A,3,58
Darwin,Pocillopora_sp,16,289.15,0.54,B,3,58
Darwin,Pocillopora_sp,20,293.15,0.564,A,3,58
Darwin,Pocillopora_sp,20,293.15,0.545,B,3,58
Darwin,Pocillopora_sp,26,299.15,0.559,A,3,58
Darwin,Pocillopora_sp,26,299.15,0.531,B,3,58
Darwin,Pocillopora_sp,26,299.15,0.565,A,3,58
Darwin,Pocillopora_sp,26,299.15,0.611,A,3,58
Darwin,Pocillopora_sp,26,299.15,0.58,B,3,58
Darwin,Pocillopora_sp,32.5,305.65,0.532,A,3,58
Darwin,Pocillopora_sp,32.5,305.65,0.544,B,3,58
Darwin,Pocillopora_sp,34,307.15,0.54,A,3,58
Darwin,Pocillopora_sp,34,307.15,NA,B,3,58
Darwin,Pocillopora_sp,35.5,308.65,0.5,A,3,58
Darwin,Pocillopora_sp,35.5,308.65,0.449,B,3,58
Darwin,Pocillopora_sp,12,285.15,0.521,A,4,59
Darwin,Pocillopora_sp,12,285.15,0.552,B,4,59
Darwin,Pocillopora_sp,16,289.15,0.514,A,4,59
Darwin,Pocillopora_sp,16,289.15,0.481,B,4,59
Darwin,Pocillopora_sp,20,293.15,0.572,A,4,59
Darwin,Pocillopora_sp,20,293.15,0.569,B,4,59
Darwin,Pocillopora_sp,26,299.15,0.561,A,4,59
Darwin,Pocillopora_sp,26,299.15,0.535,B,4,59
Darwin,Pocillopora_sp,26,299.15,0.5,A,4,59
Darwin,Pocillopora_sp,26,299.15,0.584,B,4,59
Darwin,Pocillopora_sp,32.5,305.65,0.514,A,4,59
Darwin,Pocillopora_sp,32.5,305.65,0.574,B,4,59
Darwin,Pocillopora_sp,34,307.15,0.583,A,4,59
Darwin,Pocillopora_sp,34,307.15,NA,B,4,59
Darwin,Pocillopora_sp,35.5,308.65,0.413,A,4,59
Darwin,Pocillopora_sp,35.5,308.65,0.355,B,4,59
Darwin,Pocillopora_sp,12,285.15,0.568,A,5,60
Darwin,Pocillopora_sp,12,285.15,0.593,B,5,60
Darwin,Pocillopora_sp,16,289.15,0.561,A,5,60
Darwin,Pocillopora_sp,16,289.15,0.593,B,5,60
Darwin,Pocillopora_sp,20,293.15,0.605,A,5,60
Darwin,Pocillopora_sp,20,293.15,0.541,B,5,60
Darwin,Pocillopora_sp,26,299.15,0.591,A,5,60
Darwin,Pocillopora_sp,26,299.15,0.516,B,5,60
Darwin,Pocillopora_sp,26,299.15,0.595,A,5,60
Darwin,Pocillopora_sp,26,299.15,0.512,B,5,60
Darwin,Pocillopora_sp,32.5,305.65,0.597,A,5,60
Darwin,Pocillopora_sp,32.5,305.65,0.583,B,5,60
Darwin,Pocillopora_sp,34,307.15,0.592,A,5,60
Darwin,Pocillopora_sp,34,307.15,NA,B,5,60
Darwin,Pocillopora_sp,35.5,308.65,0.581,A,5,60
Darwin,Pocillopora_sp,35.5,308.65,0.489,B,5,60
