Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.521,A,7,4,4,0,0.611,0.004242640687119289,-0.08999999999999997
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.546,A,2,3,3.5,0.5,0.5745,0.00777817459305203,-0.02849999999999997
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.546,A,2,3,3.5,0.5,0.5745,0.00777817459305203,-0.02849999999999997
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.371,A,1,2.5,2,-0.5,0.5135000000000001,0.021920310216782993,-0.14250000000000007
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.371,A,1,2.5,2,-0.5,0.5135000000000001,0.021920310216782993,-0.14250000000000007
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.45,A,5,1.5,2,0.5,0.5525,0.004949747468305837,-0.10249999999999998
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.45,A,5,1.5,2,0.5,0.5525,0.004949747468305837,-0.10249999999999998
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.477,A,4,3.5,3.5,0,0.513,0,-0.03600000000000003
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.477,A,4,3.5,3.5,0,0.513,0,-0.03600000000000003
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.454,A,7,3.5,4,0.5,0.519,0.04666904755831218,-0.065
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.454,A,7,3.5,4,0.5,0.519,0.04666904755831218,-0.065
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.448,A,2,3,3.5,0.5,0.522,0,-0.07400000000000001
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.448,A,2,3,3.5,0.5,0.522,0,-0.07400000000000001
