Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
5_Pavona_clavus_Espanola,5_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.526,A,5,2.5,2,-0.5,0.533,0.01131370849898477,-0.007000000000000006
6_Pocillopora_sp_Espanola,6_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.607,A,6,5,4.5,-0.5,0.5665,0.03181980515339459,0.04049999999999998
7_Pocillopora_sp_Espanola,7_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.584,A,7,4.5,4.5,0,0.5885,0.0035355339059327407,-0.0045000000000000595
2_Pavona_clavus_Espanola,2_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.5,A,2,5,3,-2,0.4835,7.071067811865482e-4,0.016500000000000015
8_Pavona_clavus_Espanola,8_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.517,A,8,3,2.5,-0.5,0.492,0.021213203435596444,0.025000000000000022
7_Pavona_clavus_Espanola,7_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.5,A,7,5,5,0,0.49050000000000005,0.03181980515339463,0.009499999999999953
8_Pocillopora_sp_Espanola,8_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.54,A,8,5.5,5,-0.5,0.544,0.014142135623730963,-0.0040000000000000036
6_Pavona_clavus_Espanola,6_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.497,A,6,3,3,0,0.5565,0.0021213203435596446,-0.0595
4_Pocillopora_sp_Espanola,4_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.59,A,4,5,4.5,-0.5,0.5609999999999999,0.011313708498984693,0.029000000000000026
1_Pocillopora_sp_Espanola,1_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.615,A,1,3,3,0,0.58,0.004242640687119289,0.03500000000000003
3_Pavona_clavus_Espanola,3_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.502,A,3,5,5,0,0.5075000000000001,0.010606601717798222,-0.00550000000000006
1_Pavona_clavus_Espanola,1_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,32.5,Heat,0.502,A,1,2,2,0,0.5085,0.013435028842544414,-0.00649999999999995
2_Pocillopora_sp_Espanola,2_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.553,A,2,4,4,0,0.5720000000000001,0.03818376618407352,-0.019000000000000017
