Site,Species,Treatment,PAM,Replicate,Geno,Color_1,Color_2,ColorChange
Floreana,Pavona_clavus,26,0.498,A,1,2,2,0
Floreana,Pocillopora_sp,26,0.58,A,2,3,3,0
Floreana,Pocillopora_sp,26,0.543,A,4,2.5,3,0.5
Floreana,Pocillopora_sp,26,0.574,A,8,3,3,0
Floreana,Pavona_clavus,16,0.459,A,5,3,3,0
Floreana,Pavona_clavus,16,0.501,A,6,6,5.5,-0.5
Floreana,Pocillopora_sp,16,0.485,A,1,3,2.5,-0.5
Floreana,Pocillopora_sp,16,0.555,A,6,3,3,0
Floreana,Pocillopora_sp,16,0.517,A,8,2.5,2.5,0
Floreana,Pavona_clavus,16,0.506,A,3,2.5,2.5,0
Floreana,Pocillopora_sp,16,0.538,A,4,3,3,0
Floreana,Pocillopora_sp,16,0.52,A,3,2.5,3,0.5
Floreana,Pocillopora_sp,16,0.521,A,7,4,4,0
Floreana,Pocillopora_sp,16,0.546,A,2,3,3.5,0.5
Floreana,Pavona_clavus,16,0.371,A,1,2.5,2,-0.5
Floreana,Pocillopora_sp,16,0.45,A,5,1.5,2,0.5
Floreana,Pavona_clavus,16,0.477,A,4,3.5,3.5,0
Floreana,Pavona_clavus,16,0.454,A,7,3.5,4,0.5
Floreana,Pavona_clavus,16,0.448,A,2,3,3.5,0.5
Floreana,Pavona_clavus,16,0.496,A,8,4,4.5,0.5
Floreana,Pocillopora_sp,14,0.501,A,2,3,2.5,-0.5
Floreana,Pocillopora_sp,14,0.47,A,8,2.5,2,-0.5
Floreana,Pocillopora_sp,14,0.496,A,7,3.5,3.5,0
Floreana,Pavona_clavus,14,0.391,A,5,2.5,2.5,0
Floreana,Pocillopora_sp,14,0.487,A,4,3,2.5,-0.5
Floreana,Pavona_clavus,14,0.493,A,8,5,5,0
Floreana,Pavona_clavus,14,0.474,A,4,3,2,-1
Floreana,Pavona_clavus,14,0.488,A,3,3,2.5,-0.5
Floreana,Pavona_clavus,14,0.448,A,6,5.5,4,-1.5
Floreana,Pavona_clavus,14,0.452,A,2,2.5,2,-0.5
Floreana,Pocillopora_sp,14,0.564,A,6,1.5,1.5,0
Floreana,Pocillopora_sp,14,0.459,A,5,2,2,0
Floreana,Pavona_clavus,14,0.459,A,1,2.5,1.5,-1
Floreana,Pocillopora_sp,14,0.501,A,1,4,3.5,-0.5
Floreana,Pavona_clavus,14,0.396,A,7,4.5,3,-1.5
Floreana,Pocillopora_sp,14,0.52,A,3,3,3,0
Floreana,Pocillopora_sp,12,0.505,A,1,2,2,0
Floreana,Pocillopora_sp,12,0.49,A,6,2,2,0
Floreana,Pavona_clavus,12,0.45,A,5,3,2,-1
Floreana,Pocillopora_sp,12,0.531,A,2,3,2,-1
Floreana,Pocillopora_sp,12,0.467,A,7,2.5,2,-0.5
Floreana,Pavona_clavus,12,0.443,A,6,5.5,5,-0.5
Floreana,Pavona_clavus,12,0.465,A,8,5,4.5,-0.5
Floreana,Pocillopora_sp,12,0.518,A,8,2.5,2.5,0
Floreana,Pavona_clavus,12,0.486,A,1,2,1.5,-0.5
Floreana,Pocillopora_sp,12,0.509,A,4,3,2.5,-0.5
Floreana,Pavona_clavus,12,0.48,A,2,3,3,0
Floreana,Pavona_clavus,12,0.484,A,7,2.5,3,0.5
Floreana,Pocillopora_sp,12,0.473,A,5,2,1.5,-0.5
Floreana,Pavona_clavus,12,0.41,A,3,2.5,2,-0.5
Floreana,Pavona_clavus,12,0.466,A,4,3,3,0
Floreana,Pocillopora_sp,12,0.551,A,3,3.5,3.5,0
Floreana,Pavona_clavus,26,0.486,B,7,3,3,0
Floreana,Pavona_clavus,26,0.531,B,6,5.5,5.5,0
Floreana,Pocillopora_sp,26,0.569,B,2,3,2.5,-0.5
Floreana,Pavona_clavus,26,0.505,B,3,3.5,3.5,0
Floreana,Pavona_clavus,26,0.516,B,8,5.5,5.5,0
Floreana,Pocillopora_sp,26,0.595,B,4,3,3,0
Floreana,Pocillopora_sp,26,0.575,B,8,2.5,2,-0.5
Floreana,Pocillopora_sp,26,0.556,B,5,2,2,0
Floreana,Pavona_clavus,26,0.513,B,4,2.5,2.5,0
Floreana,Pavona_clavus,26,0.516,B,5,3,2.5,-0.5
Floreana,Pocillopora_sp,26,0.551,B,3,2.5,2.5,0
Floreana,Pocillopora_sp,26,0.576,B,1,3,2.5,-0.5
Floreana,Pocillopora_sp,26,0.608,B,7,3,2,-1
Floreana,Pavona_clavus,26,0.522,B,2,4,4,0
Floreana,Pocillopora_sp,26,0.563,B,6,2,2,0
Floreana,Pavona_clavus,26,0.529,B,1,3,2.5,-0.5
Floreana,Pocillopora_sp,16,0.548,B,8,3,2,-1
Floreana,Pocillopora_sp,16,0.439,B,4,2.5,2.5,0
Floreana,Pavona_clavus,16,0.489,B,5,2.5,2.5,0
Floreana,Pavona_clavus,16,0.485,B,1,2.5,1.5,-1
Floreana,Pocillopora_sp,16,0.558,B,2,3.5,3,-0.5
Floreana,Pavona_clavus,16,0.428,B,2,3,2.5,-0.5
Floreana,Pocillopora_sp,16,0.487,B,6,2.5,2,-0.5
Floreana,Pavona_clavus,16,0.479,B,6,5.5,5.5,0
Floreana,Pocillopora_sp,16,0.53,B,3,3,3,0
Floreana,Pavona_clavus,16,0.475,B,4,3,2.5,-0.5
Floreana,Pavona_clavus,16,0.361,B,7,3,3,0
Floreana,Pocillopora_sp,16,0.499,B,1,3,2.5,-0.5
Floreana,Pavona_clavus,16,0.446,B,8,5.5,5.5,0
Floreana,Pocillopora_sp,16,0.465,B,5,1.5,1.5,0
Floreana,Pavona_clavus,16,0.47,B,3,2,1.5,-0.5
Floreana,Pocillopora_sp,16,0.553,B,7,2,1.5,-0.5
Floreana,Pavona_clavus,14,0.47,B,2,4,3,-1
Floreana,Pavona_clavus,14,0.412,B,4,2.5,2.5,0
Floreana,Pocillopora_sp,14,0.503,B,5,1.5,1.5,0
Floreana,Pocillopora_sp,14,0.534,B,4,3,3,0
